,sent1,sent2,label
0,A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,NEUTRAL
1,A group of children is playing in the house and there is no man standing in the background,A group of kids is playing in a yard and an old man is standing in the background,NEUTRAL
2,The young boys are playing outdoors and the man is smiling nearby,The kids are playing outdoors near a man with a smile,ENTAILMENT
3,The kids are playing outdoors near a man with a smile,A group of kids is playing in a yard and an old man is standing in the background,NEUTRAL
4,The young boys are playing outdoors and the man is smiling nearby,A group of kids is playing in a yard and an old man is standing in the background,NEUTRAL
5,Two dogs are fighting,Two dogs are wrestling and hugging,NEUTRAL
6,A brown dog is attacking another animal in front of the man in pants,Two dogs are fighting,NEUTRAL
7,A brown dog is attacking another animal in front of the man in pants,Two dogs are wrestling and hugging,NEUTRAL
8,Nobody is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,NEUTRAL
9,A person is riding the bicycle on one wheel,A man in a black jacket is doing tricks on a motorbike,NEUTRAL
10,A person on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel,NEUTRAL
11,A man with a jersey is dunking the ball at a basketball game,The ball is being dunked by a man with a jersey at a basketball game,ENTAILMENT
12,A man with a jersey is dunking the ball at a basketball game,A man who is playing dunks the basketball into the net and a crowd is in background,NEUTRAL
13,The player is dunking the basketball into the net and a crowd is in background,A man with a jersey is dunking the ball at a basketball game,NEUTRAL
14,Two people are kickboxing and spectators are not watching,Two people are kickboxing and spectators are watching,CONTRADICTION
15,Two young women are sparring in a kickboxing fight,Two women are sparring in a kickboxing match,ENTAILMENT
16,Two young women are not sparring in a kickboxing fight,Two women are sparring in a kickboxing match,NEUTRAL
17,Two people are kickboxing and spectators are watching,Two young women are not sparring in a kickboxing fight,NEUTRAL
18,Two women are sparring in a kickboxing match,Two people are kickboxing and spectators are not watching,NEUTRAL
19,Three boys are jumping in the leaves,Three kids are jumping in the leaves,ENTAILMENT
20,Three kids are sitting in the leaves,Three kids are jumping in the leaves,NEUTRAL
21,Children in red shirts are playing in the leaves,Three kids are sitting in the leaves,NEUTRAL
22,Children in red shirts are playing in the leaves,Three kids are jumping in the leaves,NEUTRAL
23,Two angels are making snow on the lying children,Two children are lying in the snow and are making snow angels,NEUTRAL
24,Two children are lying in the snow and are drawing angels,Two people in snowsuits are lying in the snow and making snow angels,NEUTRAL
25,Two people in snowsuits are lying in the snow and making snow angels,Two angels are making snow on the lying children,NEUTRAL
26,Two children are lying in the snow and are making snow angels,Two people in snowsuits are lying in the snow and making snow angels,NEUTRAL
27,People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest,ENTAILMENT
28,People wearing costumes are gathering in a forest and are looking in the same direction,People wearing costumes are scattering in a forest and are looking in different directions,NEUTRAL
29,People are looking at some costumes gathered in the vicinity of the forest,People wearing costumes are gathering in a forest and are looking in the same direction,NEUTRAL
30,A little girl is looking at a woman in costume,People wearing costumes are scattering in a forest and are looking in different directions,NEUTRAL
31,A little girl is looking at a woman in costume,People are looking at some costumes gathered in the vicinity of the forest,NEUTRAL
32,A young girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,NEUTRAL
33,People wearing costumes are gathering in a forest and are looking in the same direction,The little girl is looking at a man in costume,NEUTRAL
34,People wearing costumes are gathering in a forest and are looking in the same direction,A little girl in costume looks like a woman,NEUTRAL
35,A lone biker is jumping in the air,"A biker is jumping in the air, alone",ENTAILMENT
36,There is no biker jumping in the air,A lone biker is jumping in the air,CONTRADICTION
37,A man is jumping into an empty pool,A man is jumping into a full pool,CONTRADICTION
38,A man is jumping into an empty pool,The man's jumper is in the empty pool,NEUTRAL
39,A lone biker is jumping in the air,A man is jumping into a full pool,NEUTRAL
40,The man's jumper is in the empty pool,A lone biker is jumping in the air,NEUTRAL
41,A lone biker is jumping in the air,A man is jumping into an empty pool,NEUTRAL
42,Four kids are doing backbends in the park,Four children are doing backbends in the park,ENTAILMENT
43,Four children are doing backbends in the gym,Four children are doing backbends in the park,NEUTRAL
44,Four girls are doing backbends and playing in the garden,Four girls are doing backbends and playing outdoors,ENTAILMENT
45,A man who is playing is running with the ball in his hands,A player is running with the ball,ENTAILMENT
46,Two groups of people are playing football,A player is running with the ball,NEUTRAL
47,Two teams are competing in a baseball game,A player is running with the ball,NEUTRAL
48,A player is running with the ball,Two teams are competing in a football match,NEUTRAL
49,Five wooden stands are in front of each child's hut,Five children are standing in front of a wooden hut,NEUTRAL
50,Five kids are standing close together and one kid has a gun,Five kids are standing close together and none of the kids has a gun,CONTRADICTION
51,Five kids are standing close together and none of the kids has a gun,Five children are standing in front of a wooden hut,NEUTRAL
52,Five children are standing in a wooden hut,Five kids are standing close together and one kid has a gun,NEUTRAL
53,Five wooden stands are in front of each child's hut,Five kids are standing close together and one kid has a gun,NEUTRAL
54,An old man is sitting in a field,A man is sitting in a field,ENTAILMENT
55,A man is sitting in a field,A man is running in a field,NEUTRAL
56,A person is wearing a hat and is sitting on the grass,A person is sitting in a field and is wearing a hat,NEUTRAL
57,A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,NEUTRAL
58,A person is sitting and wearing a grass hat,A man is sitting in a field,NEUTRAL
59,A man is sitting in a field,A person is wearing a hat and is sitting on the grass,NEUTRAL
60,The current is being ridden by a group of friends in a raft,A group of friends are riding the current in a raft,ENTAILMENT
61,A group of friends are riding the current in a raft,A group is not riding the current in a raft,CONTRADICTION
62,The current is being ridden by a group of friends in a raft,This group of people is practicing water safety and wearing preservers,NEUTRAL
63,A group of friends are riding the current in a raft,This group of people is practicing water safety and wearing preservers,NEUTRAL
64,A deer is jumping over a fence,A deer isn't jumping over the fence,CONTRADICTION
65,People are walking inside a building that has many murals on it,People are walking outside a building that has many murals on it,NEUTRAL
66,Several people are in front of a colorful building,Nobody is in front of the colorful building,CONTRADICTION
67,People are walking outside a building that has many murals on it,Nobody is in front of the colorful building,NEUTRAL
68,People are walking outside the building that has several murals on it,Several people are in front of a colorful building,ENTAILMENT
69,A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,NEUTRAL
70,A child is hitting a baseball,A family is watching a little boy who is missing a baseball,NEUTRAL
71,A child is missing a baseball,A family is watching a little boy who is hitting a baseball,NEUTRAL
72,A purple crowd of people is eating on various red lit restaurant tables,Various people are eating at red tables in a crowded restaurant with purple lights,NEUTRAL
73,A large group of Asian people is eating at a restaurant,Various customers are eating in a crowded restaurant with purple lights,NEUTRAL
74,A purple crowd of people is eating on various red lit restaurant tables,A large group of Asian people is eating at a restaurant,NEUTRAL
75,Various people are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,NEUTRAL
76,A motorcycle rider is standing up on the seat of a white motorcycle,No motorcycle rider is standing up on the seat of a motorcycle,CONTRADICTION
77,Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,CONTRADICTION
78,A motorcyclist is riding a motorbike dangerously along a roadway,A motorcyclist is riding a motorbike along a roadway,ENTAILMENT
79,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist is riding a motorbike along a roadway,CONTRADICTION
80,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist with a red helmet is riding a blue motorcycle down the road,ENTAILMENT
81,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,A motorcyclist is riding a motorbike along a roadway,NEUTRAL
82,Two dogs are playing by a tree,A dog is catching a stick in the air and another is watching,NEUTRAL
83,Two dogs are playing by a tree,There is no dog leaping in the air,NEUTRAL
84,Two dogs are playing by a tree,A dog is leaping high in the air and another is watching,NEUTRAL
85,A girl in white is dancing,The dancer is dancing in front of the sound equipment,NEUTRAL
86,A girl in white is dancing,The blond girl is dancing behind the sound equipment,NEUTRAL
